t,i,j,trade_usd_thousands,qty_tons
2015,842,96,345680.2309999999,19573.525000000052
2015,842,104,179938.494,119381.7430000001
2015,842,116,455571.0859999996,123069.58299999966
2015,842,360,7442858.542000008,5862343.474000023
2015,842,418,37583.52500000003,4319.701000000001
2015,842,458,14182770.613000007,2848131.947999994
2015,842,608,7507245.446000006,5238250.184000008
2015,842,702,32365679.30099998,6922077.99999999
2015,842,704,8119067.429000008,4510987.641999992
2015,842,764,12632110.693000006,5383199.635000007
2016,56,96,46855.63700000001,46342.34299999986
2016,56,104,44020.84799999999,25387.06400000003
2016,56,116,77224.39399999999,8885.502000000015
2016,56,360,510455.36499999923,254616.4839999995
2016,56,418,18578.519000000008,5890.297000000004
2016,56,458,639234.5260000009,436063.7589999984
2016,56,608,297486.5459999998,79246.87199999984
2016,56,702,1138881.731000001,421653.85599999933
2016,56,704,513947.085,305764.2399999988
2016,56,764,854113.9880000002,177383.67999999935
2016,96,56,9.643,0.17300000000000001
2016,96,156,222127.37399999955,764459.4050000027
2016,96,251,3017.1960000000004,329.35499999999945
2016,96,276,2827.2279999999973,76.00400000000003
2016,96,380,406.56700000000006,27.171000000000006
2016,96,392,1741805.4319999996,4499510.99900001
2016,96,410,681164.8560000004,1895030.6520000007
2016,96,528,1157.8039999999999,191.01799999999997
2016,96,616,489.9440000000001,16.558
2016,96,724,768.3569999999999,9.178
2016,96,752,64.55600000000001,1.4089999999999998
2016,96,826,69520.18799999994,409.56199999999995
2016,96,842,12057.173000000004,403.94899999999905
2016,104,56,48649.03599999998,54385.57099999998
2016,104,156,5433260.250000006,314643302.7339999
2016,104,251,178455.96299999984,33086.01500000002
2016,104,276,403736.0610000004,49606.616999999955
2016,104,380,126684.84000000004,16247.559000000005
2016,104,392,988082.3519999998,99728.13999999997
2016,104,410,495709.9320000002,140553.956
2016,104,528,100511.09400000007,16737.998000000018
2016,104,616,49914.023,28386.846999999987
2016,104,724,122074.83800000003,23297.251999999997
2016,104,752,22082.077999999998,2508.549
2016,104,826,227291.62,49124.439999999995
2016,104,842,328450.20900000015,38376.484000000004
2016,116,56,182552.507,22786.678000000004
2016,116,156,913228.4080000003,328205.04500000033
2016,116,251,922209.479,119298.14599999995
2016,116,276,1795262.0430000017,145241.2379999999
2016,116,380,390074.2430000001,41660.49599999999
2016,116,392,1426796.675,80587.58900000002
2016,116,410,256749.95499999984,32706.38400000003
2016,116,528,360227.003,51158.52599999997
2016,116,616,279056.4140000001,62382.51799999995
2016,116,724,718765.8259999998,44361.49399999995
