t,asean_country,partner_group,direction,trade_usd_thousands,trade_usd_millions
2021,IDN,USA,asean_to_partner,28096905.96200002,28096.90596200002
2021,IDN,USA,partner_to_asean,11118550.709000016,11118.550709000016
2021,KHM,CHN,asean_to_partner,2134383.1319999984,2134.3831319999986
2021,KHM,CHN,partner_to_asean,9406856.087,9406.856087
2021,KHM,EU,asean_to_partner,4774486.250999998,4774.486250999998
2021,KHM,EU,partner_to_asean,816826.6610000001,816.8266610000001
2021,KHM,GBR,asean_to_partner,842387.8749999999,842.3878749999999
2021,KHM,GBR,partner_to_asean,69477.89099999993,69.47789099999993
2021,KHM,JPN,asean_to_partner,1731837.8510000005,1731.8378510000005
2021,KHM,JPN,partner_to_asean,701417.0680000001,701.4170680000001
2021,KHM,KOR,asean_to_partner,330246.8120000003,330.2468120000003
2021,KHM,KOR,partner_to_asean,687007.459,687.007459
2021,KHM,USA,asean_to_partner,9859837.338000003,9859.837338000003
2021,KHM,USA,partner_to_asean,400960.9639999995,400.96096399999954
2021,LAO,CHN,asean_to_partner,2555992.899999999,2555.992899999999
2021,LAO,CHN,partner_to_asean,1679452.1409999975,1679.4521409999975
2021,LAO,EU,asean_to_partner,317969.7729999999,317.9697729999999
2021,LAO,EU,partner_to_asean,228388.63,228.38863
2021,LAO,GBR,asean_to_partner,30899.999999999996,30.899999999999995
2021,LAO,GBR,partner_to_asean,31818.37399999999,31.818373999999988
2021,LAO,JPN,asean_to_partner,130529.241,130.52924099999998
2021,LAO,JPN,partner_to_asean,180028.202,180.028202
2021,LAO,KOR,asean_to_partner,50859.832000000024,50.859832000000026
2021,LAO,KOR,partner_to_asean,86301.47799999997,86.30147799999997
2021,LAO,USA,asean_to_partner,224604.22300000003,224.60422300000002
2021,LAO,USA,partner_to_asean,139764.75400000016,139.76475400000015
2021,MMR,CHN,asean_to_partner,6461199.843000009,6461.1998430000085
2021,MMR,CHN,partner_to_asean,7558368.214999998,7558.368214999998
2021,MMR,EU,asean_to_partner,3440806.2399999993,3440.8062399999994
2021,MMR,EU,partner_to_asean,488803.3530000001,488.80335300000013
2021,MMR,GBR,asean_to_partner,388971.5080000002,388.9715080000002
2021,MMR,GBR,partner_to_asean,35091.31500000001,35.09131500000001
2021,MMR,JPN,asean_to_partner,1103264.3310000016,1103.2643310000017
2021,MMR,JPN,partner_to_asean,408746.1400000002,408.7461400000002
2021,MMR,KOR,asean_to_partner,453230.0359999998,453.2300359999998
2021,MMR,KOR,partner_to_asean,401969.8279999995,401.9698279999995
2021,MMR,USA,asean_to_partner,1009921.1650000006,1009.9211650000007
2021,MMR,USA,partner_to_asean,206634.7900000001,206.6347900000001
2021,MYS,CHN,asean_to_partner,81273656.48599996,81273.65648599996
