country_iso3,year,partner_group,direction,metric,value_usd_millions,source
BRN,2023,CHN,asean_to_partner,trade_goods,1867.0232959999987,BACI HS07 V202601
BRN,2023,CHN,partner_to_asean,trade_goods,817.1417090000028,BACI HS07 V202601
BRN,2023,EU,partner_to_asean,fdi_flow,3.25043252605969,OECD BMD4 (fdi_flow)
BRN,2023,EU,partner_to_asean,fdi_position,39.677349171271,OECD BMD4 (fdi_position)
BRN,2023,EU,asean_to_partner,trade_goods,13.696826000000003,BACI HS07 V202601
BRN,2023,EU,partner_to_asean,trade_goods,270.08713300000016,BACI HS07 V202601
BRN,2023,GBR,asean_to_partner,trade_goods,4.9084769999999995,BACI HS07 V202601
BRN,2023,GBR,partner_to_asean,trade_goods,815.3535169999996,BACI HS07 V202601
BRN,2023,JPN,asean_to_partner,trade_goods,1849.1019429999992,BACI HS07 V202601
BRN,2023,JPN,partner_to_asean,trade_goods,89.00702899999999,BACI HS07 V202601
BRN,2023,KOR,partner_to_asean,fdi_flow,50.05,OECD BMD4 (fdi_flow)
BRN,2023,KOR,partner_to_asean,fdi_position,8.69122519,OECD BMD4 (fdi_position)
BRN,2023,KOR,asean_to_partner,trade_goods,400.2249399999997,BACI HS07 V202601
BRN,2023,KOR,partner_to_asean,trade_goods,71.3483509999999,BACI HS07 V202601
BRN,2023,USA,asean_to_partner,trade_goods,271.542762,BACI HS07 V202601
BRN,2023,USA,partner_to_asean,trade_goods,237.6673830000003,BACI HS07 V202601
BRN,2024,CHN,asean_to_partner,trade_goods,2019.0541830000009,BACI HS07 V202601
BRN,2024,CHN,partner_to_asean,trade_goods,711.5560490000008,BACI HS07 V202601
BRN,2024,EU,partner_to_asean,fdi_flow,9.727449707873651,OECD BMD4 (fdi_flow)
BRN,2024,EU,partner_to_asean,fdi_position,38.3357573239148,OECD BMD4 (fdi_position)
BRN,2024,EU,asean_to_partner,trade_goods,19.226798,BACI HS07 V202601
BRN,2024,EU,partner_to_asean,trade_goods,248.78273500000012,BACI HS07 V202601
BRN,2024,GBR,asean_to_partner,trade_goods,5.651349999999999,BACI HS07 V202601
BRN,2024,GBR,partner_to_asean,trade_goods,84.73398699999994,BACI HS07 V202601
BRN,2024,JPN,asean_to_partner,trade_goods,1814.5755360000007,BACI HS07 V202601
BRN,2024,JPN,partner_to_asean,trade_goods,76.46690399999994,BACI HS07 V202601
BRN,2024,KOR,partner_to_asean,fdi_flow,0.399701,OECD BMD4 (fdi_flow)
BRN,2024,KOR,partner_to_asean,fdi_position,9.0909262,OECD BMD4 (fdi_position)
BRN,2024,KOR,asean_to_partner,trade_goods,508.700173,BACI HS07 V202601
BRN,2024,KOR,partner_to_asean,trade_goods,42.02783700000002,BACI HS07 V202601
BRN,2024,USA,partner_to_asean,fdi_flow,2.0,BEA USDIA
BRN,2024,USA,asean_to_partner,trade_goods,271.43975800000015,BACI HS07 V202601
BRN,2024,USA,partner_to_asean,trade_goods,213.09520500000025,BACI HS07 V202601
IDN,2010,CHN,partner_to_asean,china_commercial_investment,830.0,CGIT 2023-Fall (>=$95M)
IDN,2010,CHN,partner_to_asean,china_dev_finance,705.8793183000287,AidData GCDF 3.0 (constant 2021 USD)
IDN,2010,CHN,asean_to_partner,trade_goods,20188.754365000008,BACI HS07 V202601
IDN,2010,CHN,partner_to_asean,trade_goods,20977.803804000087,BACI HS07 V202601
IDN,2010,EU,partner_to_asean,fdi_flow,161.58942,OECD BMD4 (fdi_flow)
IDN,2010,EU,partner_to_asean,fdi_position,2045.6975,OECD BMD4 (fdi_position)
IDN,2010,EU,asean_to_partner,trade_goods,17437.614725999985,BACI HS07 V202601
IDN,2010,EU,partner_to_asean,trade_goods,7808.638318999997,BACI HS07 V202601
IDN,2010,GBR,asean_to_partner,trade_goods,2396.956428999996,BACI HS07 V202601
IDN,2010,GBR,partner_to_asean,trade_goods,951.5394150000012,BACI HS07 V202601
IDN,2010,JPN,partner_to_asean,fdi_flow,490.38665544149103,JETRO/BOJ
IDN,2010,JPN,partner_to_asean,fdi_position,11946.454789278729,JETRO/BOJ
IDN,2010,JPN,asean_to_partner,trade_goods,29310.262146000023,BACI HS07 V202601
IDN,2010,JPN,partner_to_asean,trade_goods,15284.282824999997,BACI HS07 V202601
IDN,2010,KOR,asean_to_partner,trade_goods,13724.29520099998,BACI HS07 V202601
IDN,2010,KOR,partner_to_asean,trade_goods,7964.956666999989,BACI HS07 V202601
IDN,2010,USA,partner_to_asean,fdi_flow,315.0,BEA USDIA
IDN,2010,USA,partner_to_asean,fdi_position,10558.0,BEA USDIA
IDN,2010,USA,asean_to_partner,trade_goods,17829.318533999998,BACI HS07 V202601
IDN,2010,USA,partner_to_asean,trade_goods,9422.591132000003,BACI HS07 V202601
IDN,2011,CHN,partner_to_asean,china_commercial_construction,1830.0,CGIT 2023-Fall (>=$95M)
IDN,2011,CHN,partner_to_asean,china_commercial_investment,1870.0,CGIT 2023-Fall (>=$95M)
IDN,2011,CHN,partner_to_asean,china_dev_finance,1999.8630790442332,AidData GCDF 3.0 (constant 2021 USD)
IDN,2011,CHN,asean_to_partner,trade_goods,28077.25669200006,BACI HS07 V202601
IDN,2011,CHN,partner_to_asean,trade_goods,26661.69564199997,BACI HS07 V202601
IDN,2011,EU,partner_to_asean,fdi_flow,946.1843338577273,OECD BMD4 (fdi_flow)
IDN,2011,EU,partner_to_asean,fdi_position,2468.170430368116,OECD BMD4 (fdi_position)
IDN,2011,EU,asean_to_partner,trade_goods,21564.378484000015,BACI HS07 V202601
IDN,2011,EU,partner_to_asean,trade_goods,9659.938102,BACI HS07 V202601
IDN,2011,GBR,asean_to_partner,trade_goods,2503.896286000002,BACI HS07 V202601
IDN,2011,GBR,partner_to_asean,trade_goods,1187.876774,BACI HS07 V202601
IDN,2011,JPN,partner_to_asean,fdi_flow,3611.069021059684,JETRO/BOJ
IDN,2011,JPN,partner_to_asean,fdi_position,15816.307260586442,JETRO/BOJ
IDN,2011,JPN,asean_to_partner,trade_goods,35737.11480499993,BACI HS07 V202601
IDN,2011,JPN,partner_to_asean,trade_goods,17467.15322800001,BACI HS07 V202601
IDN,2011,KOR,asean_to_partner,trade_goods,16933.404467999982,BACI HS07 V202601
IDN,2011,KOR,partner_to_asean,trade_goods,12946.875690000044,BACI HS07 V202601
IDN,2011,USA,partner_to_asean,fdi_flow,1926.0,BEA USDIA
IDN,2011,USA,partner_to_asean,fdi_position,12046.0,BEA USDIA
IDN,2011,USA,asean_to_partner,trade_goods,20481.17848900002,BACI HS07 V202601
IDN,2011,USA,partner_to_asean,trade_goods,10826.989381999989,BACI HS07 V202601
IDN,2012,CHN,partner_to_asean,china_commercial_construction,1650.0,CGIT 2023-Fall (>=$95M)
IDN,2012,CHN,partner_to_asean,china_commercial_investment,2100.0,CGIT 2023-Fall (>=$95M)
